loan_id,segment,monthly_income,loan_amount,interest_rate,tenure_months,defaulted
H00001,salaried,59536.0,69800.0,30.2,24,0
H00002,salaried,51351.0,138200.0,35.3,3,0
H00003,salaried,42297.0,150300.0,26.2,9,0
H00004,student,11755.0,40900.0,29.6,18,0
H00005,student,16858.0,91000.0,31.7,9,1
H00006,salaried,36898.0,177000.0,30.1,12,1
H00007,student,22934.0,24700.0,29.8,6,0
H00008,salaried,47871.0,200000.0,18.0,3,0
H00009,salaried,29680.0,103300.0,33.7,3,0
H00010,salaried,43050.0,180700.0,20.9,24,0
H00011,student,10403.0,13500.0,21.2,18,0
H00012,student,8911.0,27100.0,27.2,12,0
H00013,student,17177.0,74200.0,28.6,18,0
H00014,salaried,37925.0,184500.0,31.6,9,0
H00015,salaried,35691.0,175300.0,23.3,12,0
H00016,salaried,18325.0,29600.0,35.0,3,0
H00017,salaried,36895.0,186800.0,29.3,3,0
H00018,salaried,41429.0,148400.0,33.2,9,0
H00019,salaried,43467.0,180200.0,26.6,24,0
H00020,salaried,25657.0,132600.0,19.3,24,0
H00021,student,15190.0,40600.0,18.2,12,1
H00022,student,21181.0,117600.0,29.5,12,0
H00023,salaried,38779.0,200000.0,25.7,18,0
H00024,student,16960.0,83500.0,25.9,9,0
H00025,student,17049.0,43100.0,23.9,9,0
H00026,salaried,34650.0,116400.0,21.2,12,0
H00027,salaried,57447.0,78700.0,26.5,12,0
H00028,salaried,36474.0,169700.0,22.6,12,0
H00029,salaried,37726.0,200000.0,34.1,3,0
H00030,salaried,45183.0,58800.0,21.2,12,0
H00031,salaried,57098.0,200000.0,35.4,9,0
H00032,student,15522.0,66500.0,33.5,6,0
H00033,student,8943.0,5400.0,24.9,18,0
H00034,student,6456.0,35700.0,31.9,3,0
H00035,salaried,26398.0,81400.0,28.5,6,0
H00036,student,14552.0,27800.0,26.4,3,1
H00037,student,11409.0,6500.0,32.6,18,0
H00038,student,15461.0,73900.0,33.0,18,0
H00039,salaried,29230.0,67000.0,21.6,9,1
H00040,student,17758.0,58200.0,34.3,3,1
H00041,student,11377.0,17000.0,18.6,9,0
H00042,salaried,31527.0,119800.0,18.1,6,0
H00043,salaried,43874.0,115100.0,26.7,6,0
H00044,salaried,65485.0,200000.0,23.4,12,0
H00045,salaried,46621.0,192600.0,25.6,18,0
H00046,salaried,32858.0,145900.0,26.6,9,1
H00047,student,10801.0,19500.0,26.4,9,0
H00048,salaried,28869.0,21900.0,34.3,24,0
H00049,salaried,45880.0,200000.0,34.5,12,0
